1/L/200,1/L/k,2/L/sqrt(k)
3.901248990799267,3.2622562548108736,4.949513878600197
10.555488493430438,8.279742861189055,14.17919811740581
13.471112054731146,10.081344847412124,18.68258563756247
11.072010358701506,7.789249731372823,16.019045928345026
6.811124795988723,4.512397057117414,10.423794560719847
3.406742077062331,2.344764826130091,5.577222985390412
1.512248383260886,1.5094579280863418,2.6052843108993917
0.6832149109106904,1.3951430818362776,1.1253367417438958
0.3545386472394987,1.4394324017388844,0.47361877933052415
0.19926981505789323,1.3910753754725105,0.21270561178138855
0.10142588684746781,1.2251090297898912,0.14505806481817132
0.04054343188219048,1.0010436748227343,0.19336249348155374
0.016218058526678354,0.7784181577739109,0.3155849644221802
0.022503343864791307,0.590707431455138,0.47503118168020797
0.047539364945791585,0.4482479961374393,0.6389147145816632
0.07907578663802071,0.3482801714969431,0.7831162993012366
0.10815166098961015,0.2829610136650853,0.8943032646266716
0.1299748121226435,0.24374901355170117,0.9686782901646659
0.14316758590224737,0.22318412293520618,1.009077346931103
0.14851811194698494,0.21531724139122216,1.0219441284292776
0.14785370684428414,0.21560385762204326,1.0149404813363714
0.1432463898728697,0.22066038579824604,0.9953789858842442
0.13655181279645962,0.22803335743596043,0.96937955944184
0.1292050771293284,0.23601510700828005,0.94155775380488
0.12218369408042372,0.24349732372757735,0.9150517554758867
0.11606148543670478,0.24984645298717462,0.8917315149326233
0.11109912640405019,0.2547906064314492,0.8724791023273779
0.1073383678018548,0.2583153726279725,0.857471224962018
0.10468361421949852,0.26057100683622963,0.846427298874315
0.10296536638485473,0.26179494605910997,0.8388084512148353
0.10198584327407062,0.26225240176911074,0.8339658494302156
0.10154947740871115,0.26219545256461935,0.8312433652593116
0.10148148541191862,0.26183884314129674,0.8300422571271349
0.101637453465986,0.2613492564910098,0.8298561150951469
0.10190642733176784,0.26084429365839334,0.8302838557311935
0.10220957387419198,0.26039758242944305,0.8310276391111737
0.10249611381438625,0.2600470485380244,0.8318814628465666
0.10273788667893838,0.25980415398820556,0.832714996316148
0.10292357973534254,0.2596626541643035,0.8334560408180623
0.10305333661211948,0.25960605161532374,0.8340739146872038
0.10313417560320681,0.2596133967602776,0.8345651282944494
0.10317641058859006,0.2596634095176134,0.8349419705673649
0.10319108989156679,0.2597370942749675,0.8352240874679401
0.10318835128655345,0.2598191223322809,0.8354327810221477
0.10317652779934453,0.2598982884330592,0.8355875658251258
0.10316181734921077,0.2599673347896711,0.8357044512653082
0.10314833683660418,0.26002239598758187,0.8357954340734212
0.10313840622512353,0.2600622656487016,0.8358687534192158
0.1031329410582146,0.2600876309606181,0.835929552596572
0.10313186591919561,0.26010037082303444,0.8359806877525311
0.1031344922937356,0.26010297119982234,0.8360235124562838
0.1031398298462815,0.2600980788391326,0.8360585402524451
0.1031468194812891,0.26008819175460673,0.8360859431277172
0.1031544899190474,0.2600754706648267,0.8361058824419209
0.1031620476560672,0.26006164833917383,0.8361186925285946
0.10316891415705398,0.26004801171100694,0.8361249489143032
0.1031747250563996,0.26003543300627097,0.836125456186159
0.1031793050630973,0.2600244295600738,0.8361211879542629
0.10318263003491154,0.2600152363266101,0.8361132056157592
0.10318478498867038,0.2600078795273217,0.8361025756449562
0.10318592411746896,0.2600022439133433,0.8360902982396041
0.10318623649485134,0.2599981294617454,0.8360772541600684
0.1031859192124022,0.25999529588095566,0.8360641719036905
0.10318515826956419,0.25999349509041575,0.8360516140563982
0.10318411658556655,0.2599924929587367,0.836039979650455
0.10318292796330586,0.25999208216234465,0.8360295184116593
0.10318169561455943,0.2599920882072272,0.8360203526369652
0.10318049386400709,0.25999237056230395,0.8360125028404738
0.1031793718011204,0.25999282060209,0.8360059140114715
0.10317835787791035,0.25999335772694576,0.8360004801577081
0.10317746470250523,0.259993924690549,0.835996065626086
0.10317669351992513,0.2599944828476876,0.8359925224158836
0.10317603807913796,0.2599950077708417,0.8359897032798668
0.10317548775100972,0.2599954854752469,0.8359874708321887
0.10317502988155626,0.2599959093401206,0.8359857031555474
0.10317465144412483,0.25999627771316675,0.8359842965443007
0.10317434009835287,0.25999659212496845,0.8359831660625813
0.10317408478130731,0.259996856011748,0.8359822445652606
0.10317387595491619,0.2599970738378878,0.835981480751225
0.10317370562052197,0.25999725051806,0.8359808367157436
0.1031735671922799,0.25999739105179787,0.8359802853585979
0.1031734552993689,0.25999750030287205,0.8359798078998067
0.1031733655668942,0.25999758287174257,0.8359793916624858
0.10317329440745192,0.2599976430253824,0.8359790282074838
0.10317323884125353,0.2599976846611121,0.835978711846746
0.10317319635217845,0.2599977112901015,0.8359784385220337
0.10317316477974196,0.2599977260324463,0.8359782050101722
0.10317314224296267,0.25999773162006756,0.8359780084020785
0.10317312708989006,0.2599977304062362,0.8359778457986454
0.10317311786592026,0.25999772438060365,0.8359777141682054
0.10317311329455915,0.25999771518959486,0.8359776103162674
0.10317311226558219,0.25999770416209095,0.8359775309261479
0.10317311382644284,0.25999769233892794,0.8359774726379604
0.10317311717438449,0.2599976805056984,0.8359774321417399
0.10317312164755786,0.2599976692269141,0.8359774062679437
0.10317312671455939,0.25999765888076776,0.8359773920649319
0.10317313196225643,0.2599976496929989,0.8359773868579061
0.10317313708223866,0.2599976417686664,0.8359773882875241
0.10317314185653355,0.2599976351211111,0.8359773943289027
0.10317314614313151,0.2599976296972763,0.8359774032932986
