1/L/2,1/L/200,1/L/k,1/L/10k,2/L/sqrt(k),1/(L+sqrt(k))
214.67343772349585,225.80294932994238,201.59038591320422,242.5697486358858,168.13123616823623,197.58828117046286
199.79762435852564,225.64156900110757,186.81113849373398,240.7486118567006,136.33531433937273,171.21024482273742
184.1222844962372,225.45795355521503,176.5045995518845,239.39233710506798,112.69850749848841,145.65084149886457
168.58691500491918,225.2490836515647,168.45066464325808,238.25068770920416,96.07421206032842,123.64984655122268
148.73567154079595,224.93901014293016,159.8080101878013,236.93232451905916,80.0069145541065,99.34988886918994
125.50657033556293,224.48665343637003,150.4657265522561,235.35157296668848,66.67937897132289,76.75490504193151
110.96528837325643,224.1529549011318,144.65398899517078,234.34432768896522,58.079342406778416,63.62054304568912
105.25883922080038,224.02826685118868,142.61314536550614,233.99624378339368,54.28706830553051,57.915236875649896
102.43430458226646,223.93367327092287,141.47905880861154,233.7582192073777,53.57702301912487,56.59740839888951
99.61088812130022,223.84437437225748,140.4680872376659,233.55404497883197,52.55442082456147,54.85285611071912
97.41992054163703,223.7561770275235,139.64725872927352,233.37143028467617,52.26184905386989,54.20721205772968
95.20962407072314,223.66714408451833,138.87891316944865,233.20260230273726,51.889786990226604,53.43110281410285
92.71917862559904,223.5811805771962,138.14130589735495,233.05073595680622,51.04597297678791,51.86691199527226
90.33111795250223,223.49688948631962,137.47525971075257,232.91212336742467,50.20983005896802,50.25781646652198
87.79060490446977,223.41465992350538,136.83611823029412,232.78521116030143,49.16496135147785,48.28653189430502
85.23010473816922,223.32961993365564,136.21839090603163,232.6626777681426,48.1202454861128,46.30331407366362
83.13309310828967,223.24307284989692,135.6713627854615,232.5459436895179,47.4986562749976,45.13950386852063
80.93183136520638,223.15882658002369,135.14556311547068,232.43805714671475,46.71608965416527,43.671971814120816
78.97746581293514,223.07114232078789,134.6547184434712,232.3326059990091,46.160217793250325,42.64398300133111
77.18858390442358,222.97525170482854,134.16723558779816,232.22444624089442,45.795749341065935,42.04897889386934
75.00810270500973,222.88836397341058,133.70225552452985,232.12957712285765,44.99103577202763,40.47160645178166
73.80216683564848,222.79051818500534,133.30168878797343,232.0300900959085,45.085377179997984,40.758070076065835
72.97892910045042,222.69398222064942,132.9646188855238,231.93662959465792,45.42221438611691,41.433225847132064
71.81445388074216,222.60693488095436,132.62840534374013,231.8542818590664,45.371047540044344,41.32882275546686
70.93410564813003,222.50979978762692,132.2883277532624,231.76734268523253,45.577199465881584,41.92488547680098
68.88219603526605,222.43629870706764,131.942330585509,231.70058814630198,44.661165931034624,39.927509896585185
64.68093207303522,222.30541722069117,131.32739276805273,231.59228771226705,42.57394874019559,35.276502398430196
59.770383318916736,222.13040084152544,130.5654829426608,231.45640105331597,40.19972750439288,30.406508039830932
55.62819505655643,221.98118059549356,129.9184365691322,231.34303792068607,38.12596478322587,26.502249397172154
50.54596383041484,221.78169896411504,129.09533487450963,231.1991277846962,35.54082422069391,22.086712027533352
47.00098646310796,221.6258768228117,128.4758628717349,231.08863233588974,33.76229888324079,19.423246983091595
43.253529199587845,221.4513018788599,127.80675212120333,230.96993455691492,31.84648856054497,16.785732299783543
40.2143445213455,221.31336422276166,127.27653761089582,230.8774870379424,30.260853605965682,14.736646622834018
38.111539558933025,221.0936903708955,126.6047358723155,230.73991983867407,29.407557213456375,14.499975698363317
33.66372485514793,220.71134936703243,125.3954622524796,230.51008652313286,27.210304042450666,12.913016188519935
30.35125149725228,220.4214017728394,124.48661572647225,230.33913539457663,25.500779185816018,11.519918251742837
27.584985125215198,220.06935618919658,123.47279005758664,230.13876927640192,24.077257858720788,10.856148056808522
26.456382719062677,219.70102248401545,122.53435405922409,229.93536666569076,23.578994650453264,11.61350769255476
23.617004745058047,219.36595106070197,121.57823672391552,229.75379657073668,21.92368660531844,10.189981532185655
25.435601106177863,218.80111567348084,120.34923836436771,229.46067147457705,22.936151811416956,15.91750344652874
25.40313775389865,218.30050402176468,119.24395953188481,229.2055976227904,22.993992554316755,16.884809659035877
