1/L/2,1/L/200,1/L/k,1/L/10k,2/L/sqrt(k),1/(L+sqrt(k))
15.311259407257332,25.13094879443617,9.40765515132067,14.527884378742131,20.65078146752648,11.350732304383977
11.455154587387,24.98670555057512,7.626678319660806,13.716064527058059,3.964129108605928,7.737521108546087
8.837190946133523,24.85369152836903,6.491421554352272,13.260777613449266,3.6336794890413975,5.176266267320082
7.362727731962373,24.71547421148048,5.9629715168080715,12.915856051178055,3.701077323768621,4.720635899408197
6.975934487350986,24.56545954535802,5.832913256837604,12.619988790555514,4.672201757439819,5.732331114405592
5.791415764757058,24.439299927963287,5.482131051591703,12.426970067946883,3.5858412066571432,4.018841169876073
5.12974582519205,24.308786488979305,5.234342656123611,12.256485721524205,3.404691668811763,3.818004449126734
4.697089430355019,24.18285929666576,5.0375422033265815,12.116093250736732,3.385710429520584,3.753289317778302
4.408478911334888,24.063362041462874,4.853048564979972,12.001020940261597,3.4346933184013273,3.81120584717376
4.4931431928140375,23.93146170450567,4.7765462978377515,11.88343982376093,3.608386272154996,4.296555794867033
3.4447652724793243,23.810125865158113,4.523142322772683,11.784405569210124,2.6623065098106107,2.670586770106185
2.8731814274026166,23.684988646136837,4.314602875285064,11.690022979229063,2.2263135301266006,2.3018335792169875
2.691258314364757,23.574781285157016,4.116473585288606,11.61628797921325,2.248848690829104,2.6941115086050296
2.9098958567219095,23.447194549353892,4.005766624000904,11.534126811499245,2.4137220090526346,3.2053988461647713
3.097540569575858,23.360244541553687,3.7607966065284764,11.486853564377732,2.9471847682470997,5.01662674859714
3.516311732654933,23.23964962643531,3.630661759727845,11.418492321689769,3.181311793388189,4.964469992646497
4.12472271561123,23.13945108688027,3.482491754169221,11.367884849157456,3.7956733970938705,5.957825825087762
4.559265221391809,23.02884354257966,3.387229909007008,11.313744987620629,4.083271917508218,5.864395084596839
4.919664000582964,22.918147507598302,3.3062766823582597,11.262201469727708,4.332192797135111,5.874733858455295
5.114125756762937,22.805219267794687,3.2423175553048544,11.21204219029126,4.431287326189282,5.68246133283784
5.301112805065355,22.699330602739177,3.1813440219562428,11.168082706173651,4.5950603246528985,5.6739433895536635
4.076482812151278,22.58083323812801,3.0757042556279077,11.118477687768342,3.5924039622899864,3.4230787362909307
3.837474726380645,22.441586112236465,3.017090504768445,11.060678761832559,3.1880129373100177,3.830365290197687
3.278401837650474,22.326046290113702,2.9274735432209598,11.016371253927469,2.838071617360431,2.6604446306271146
2.8424823672727917,22.189162392799318,2.857327855156449,10.963871227748468,2.450829485163618,2.494023033758958
1.9179834891878458,22.03976565631439,2.726545885484486,10.90649004013583,1.8367224117253447,1.7932014972817527
1.979535292635274,21.88603996409022,2.63468571305256,10.849468331950584,1.926104456872192,2.231011608766081
2.1894454460820048,21.73067220452927,2.5557397618856763,10.793670239090078,2.189129249546048,2.5724392233824815
1.794905232955203,21.586949443556705,2.468922397220701,10.744038647060993,1.9423517082426014,1.9204768329252075
1.9782935008834093,21.439290592587568,2.4068790555180057,10.69455237880437,2.0469843865957777,2.4148343030782167
1.7856650949713577,21.300244223292196,2.329577875881132,10.649241943878609,1.814092977284139,2.219942364638491
2.1645698503233324,21.14891226745726,2.279894934879667,10.600786058971623,2.0688550377581207,2.857290566445588
2.4165415180581995,21.000834189399633,2.23795656330656,10.554900451808972,2.2493581315713422,2.9822386837333847
2.611213551123697,20.85355879384237,2.2055120868312597,10.51045510860686,2.402935347778264,3.0385495595482337
2.5409215438044703,20.715102708184972,2.165190710864988,10.470047156338225,2.3130346473068846,2.72929753419781
2.818414085739416,20.567458389540672,2.1420392186315405,10.427414177552997,2.49590016097334,3.169586804622295
2.1189935647778784,20.47265368896471,2.0130139783150947,10.401630876729136,1.3854677602690837,3.5918302820641195
3.0129424597344068,20.378655409753353,1.8904767465427355,10.376649934454171,1.283344381856093,5.418109456272146
4.772788038866331,20.296936303587014,1.7539929995537118,10.355537880999044,1.782541992223729,8.182839483742356
5.8483921403321535,20.210439164844114,1.6421855795296332,10.333781441977454,2.4585330557874574,8.145622633679311
7.8887822440254265,20.141475096008122,1.5222285339295514,10.317747074229382,3.6746981200021245,10.855691522235906
8.615023058843189,20.065661201693793,1.4231146050831966,10.300209264673088,4.550177805589277,10.273783580304299
8.22650742862969,19.980286503325118,1.3434964214609737,10.2803185967297,4.822018316767095,8.659346489352638
7.648765710760317,19.886974493804907,1.271046693689563,10.258214852856693,4.843456733363444,7.583794680448109
8.446054258054701,19.80948373260242,1.194865775816591,10.240812018118781,5.446783865793675,9.161548714025106
8.008229072076306,19.72038433217119,1.1357264600407817,10.221040712306042,5.422099174229868,7.878791636102295
9.70380482186118,19.655491697224573,1.0686866434405478,10.20783796644953,6.459222212893405,11.155956222494366
15.803475242379443,19.61842623885658,0.9867251770250179,10.199706602941138,9.546882807663966,23.00886239192716
22.695926965244464,19.596303953231782,0.9254458363262202,10.19550416026746,13.503938206028149,31.659140028764373
8.038115802638352,19.51212188906428,0.9304147838436374,10.181087548132112,8.126677484329281,3.4464688846637053
2.1585748840384675,19.403511653280628,0.9424179703762536,10.161309718010855,3.815061653424848,2.5402315187337425
1.8974429790201208,19.295598031437564,0.9561993235449933,10.142037743831548,2.0126201189830706,3.6797969061305795
2.144709356490914,19.196605580020375,0.9650554933312866,10.12482762265855,1.4277121539716746,3.2883363766730898
2.4803769385110663,19.09335015643639,0.976360737889036,10.106905561078127,1.133425712499806,3.603886264322089
3.4399355282187436,18.98067153536207,0.992340404835347,10.087208291561366,1.2570649448444986,4.949430189797418
