1/L/200,1/L/k,2/L/sqrt(k)
0.124841114810759,0.11175885526116563,0.14276588959570272
0.13377815084401604,0.1045478243646676,0.17116570963976077
0.11748092852215294,0.08585009916203915,0.15523631402195232
0.0864358540231827,0.05936122265226588,0.117017086451929
0.056561975491036344,0.036231510804020206,0.07906070876949287
0.033652396130519374,0.020411975983720188,0.04909516177227243
0.018739285192664146,0.011973563596575658,0.02863009281632614
0.010347335489256584,0.008782766525021638,0.016283828491167385
0.0060725863188314695,0.008168971918241055,0.009490105019361905
0.003864028727360631,0.008182987398604373,0.005882778098562813
0.0025341434902925236,0.007935356406630113,0.0039456394230801325
0.0016110709257838604,0.007293663353694457,0.002936647453565026
0.0009761117046622902,0.006443941275841725,0.0025306346591225264
0.0005960152821959713,0.005598680498941281,0.002537042490682515
0.00041892647810043703,0.004886045602097211,0.002788049281745297
0.00037256165937152715,0.004347315152719527,0.003135615077699385
0.00039039823478509975,0.003969943370694651,0.00347505580458362
0.00042782336949946594,0.0037187571865051764,0.0037532618155598483
0.00046275782029613235,0.0035553939558326626,0.00395796344117331
0.0004884078314497157,0.0034477115990227494,0.00409960507620137
0.0005054620729372747,0.003372883596116509,0.0041958831757883215
0.0005168499745373985,0.00331696304340459,0.004262708766039467
0.0005251856666048787,0.003272764650359116,0.004310887152606287
0.0005319825648000574,0.003237330610896372,0.004346270513993642
0.0005377526498525435,0.0032097658792826734,0.00437134676572646
0.0005424128617953693,0.0031897786463109482,0.0043869748376895125
0.0005456891541065085,0.0031769212954015935,0.004393662564072773
0.0005473875150790914,0.0031703497928868207,0.00439224380450281
0.000547510683733605,0.0031688821993625625,0.004384057815243976
0.0005462568173410407,0.00317117821208642,0.004370822657077588
0.0005439545056560737,0.0031759264586757956,0.004354385636981243
0.0005409814192041206,0.0031819838092006685,0.004336479424258999
0.0005376961191138217,0.003188450836011727,0.004318550175693991
0.0005343949826219218,0.0031946902277887185,0.0043016746427541105
0.0005312940500593449,0.00320030473644219,0.004286553504525008
0.000528529601441872,0.003205092715841853,0.0042735559154625
0.0005261698536301528,0.003208996297361687,0.004262789755861996
0.0005242312805184248,0.0032120525003497854,0.004254177555416899
0.0005226950851291003,0.003214352874070629,0.004247525286272126
0.0005215213374074314,0.003216013550697379,0.004242577736326814
0.0005206598144777946,0.003217155159184783,0.0042390589398352205
0.0005200575540623479,0.00321789080236925,0.004236699027970941
0.0005196636350757369,0.0032183199321703373,0.004235250196007689
0.0005194318680073126,0.003218526128241712,0.004234494750978076
0.0005193220460852246,0.0032185772046318044,0.004234247865968349
0.0005193002829351417,0.0032185265373762934,0.004234357080331817
0.000519338814876457,0.003218414912380014,0.004234699978592444
0.0005194155156220882,0.003218272494708029,0.004235180973519254
0.0005195132735429754,0.0032181207177358344,0.004235727749658557
0.0005196193174325611,0.0032179740047708705,0.0042362876836264714
0.000519724539069155,0.0032178412935146843,0.004236824416322945
0.000519822841022019,0.0032177273587096315,0.004237314675781623
0.0005199105282930386,0.003217633937410971,0.004237745409178817
0.0005199857570582946,0.003217560664718634,0.004238111259199253
0.0005200480498272936,0.0032175058302905363,0.0042384124026794735
0.0005200978824566973,0.003217466969055596,0.004238652753744663
0.000520136344449803,0.003217441302923208,0.004238838518826351
0.0005201648701599204,0.0032174260532156183,0.004238977077942606
0.0005201850353266612,0.0032174186453376927,0.004239076156643301
0.0005201984110933422,0.003217416827514347,0.004239143246801961
0.0005202064663901955,0.003217418724348799,0.004239185232047427
0.0005202105092408866,0.0032174228437879373,0.004239208174587252
0.0005202116579702125,0.0032174280532298216,0.004239217223658405
0.0005202108342249361,0.0032174335373929357,0.004239216610924505
0.0005202087709344278,0.0032174387475246854,0.00423920970397354
0.0005202060296476221,0.003217443348794822,0.004239199094967226
0.0005202030229460095,0.0032174471704138966,0.004239186706987886
0.0005202000387656831,0.0032174501611862117,0.0042391739054337685
0.0005201972644211498,0.0032174523518332266,0.0042391616058134254
0.0005201948088989664,0.003217453824446973,0.004239150372476771
0.0005201927225902021,0.003217454688780024,0.004239140505256098
0.0005201910140751781,0.0032174550646973587,0.004239132112776407
0.0005201896638931065,0.0032174550699047007,0.004239125172442582
0.0005201886354417775,0.0032174548120126978,0.0042391195779302535
0.0005201878832803216,0.003217454384009644,0.0042391151754968565
0.0005201873591824158,0.003217453862305684,0.004239111790671474
0.0005201870163107986,0.0032174533066107558,0.004239109246949272
0.0005201868118785728,0.0032174527610414508,0.004239107378060299
0.0005201867086354782,0.003217452255962527,0.004239106035250697
