1/L/200,1/L/k,2/L/sqrt(k)
2.8584584505989758e-05,0.03797715901747778,2.865119811703901e-05
0.000127187352696187,0.016096803720481816,0.00012726935938534104
2.4830438708089257e-05,0.013241921689762659,2.483583079609617e-05
1.961674404855142e-06,0.012518212608637646,1.9618706904356837e-06
7.288395596530104e-08,0.012288402789769315,7.444352383326564e-08
3.6699452662949136e-09,0.012208097406018789,4.639544151970779e-09
5.388905168135812e-10,0.012178877231202643,8.900087014709955e-10
2.2516177688261734e-10,0.012168066639182868,2.6046985432559267e-10
4.2925596998018144e-10,0.012164039820276841,3.3209741658524634e-10
5.374548164337051e-10,0.012162535671357054,3.89617909760723e-10
5.681563842569252e-10,0.012161973134939726,4.0168893325591826e-10
5.748472821164927e-10,0.012161762621642267,4.015263588987413e-10
5.763433098522772e-10,0.012161683810451072,4.004338677114755e-10
5.769033894317069e-10,0.012161654294365247,3.999836357122829e-10
5.772168565177588e-10,0.012161643235541333,3.998927054387549e-10
5.773901206118479e-10,0.012161639090064586,3.999018002358542e-10
5.774756765386962e-10,0.012161637535150795,3.999202412757898e-10
5.775142113038838e-10,0.012161636951476677,3.9993118526171295e-10
5.775306645152472e-10,0.012161636732172033,3.999362045363511e-10
5.775375672977254e-10,0.012161636649674543,3.9993831304970747e-10
5.775404897054504e-10,0.012161636618595192,3.999391957311948e-10
5.775417551680784e-10,0.012161636606865443,3.999395798084797e-10
5.775423162443153e-10,0.012161636602428505,3.9993975437647137e-10
5.775425694694833e-10,0.012161636600745844,3.99939835905013e-10
5.775426850053399e-10,0.012161636600105254,3.99939874353869e-10
5.775427380281525e-10,0.012161636599860479,3.9993989247003347e-10
5.775427624662031e-10,0.01216163659976644,3.999399009732642e-10
5.77542773746327e-10,0.012161636599730285,3.9993990495718876e-10
5.775427789711626e-10,0.012161636599716459,3.9993990682078103e-10
5.775427813910032e-10,0.01216163659971089,3.999399076889762e-10
5.775427825208662e-10,0.012161636599708729,3.9993990809739146e-10
5.775427830458342e-10,0.012161636599707799,3.9993990828928775e-10
5.775427832944044e-10,0.012161636599707402,3.999399083771083e-10
5.775427834149333e-10,0.012161636599707235,3.9993990841823186e-10
5.77542783468856e-10,0.012161636599707195,3.9993990843396867e-10
5.775427834947657e-10,0.012161636599707166,3.999399084426007e-10
5.77542783507868e-10,0.012161636599707143,3.9993990844674706e-10
5.775427835139381e-10,0.012161636599707114,3.9993990844815114e-10
5.775427835159082e-10,0.012161636599707116,3.9993990844838084e-10
5.775427835166712e-10,0.012161636599707114,3.999399084477969e-10
5.775427835170067e-10,0.012161636599707107,3.9993990844808797e-10
5.775427835174821e-10,0.012161636599707114,3.9993990844759605e-10
5.775427835177135e-10,0.012161636599707119,3.999399084477007e-10
5.775427835176626e-10,0.01216163659970711,3.999399084478992e-10
5.775427835177749e-10,0.012161636599707114,3.999399084474996e-10
5.775427835177118e-10,0.012161636599707114,3.9993990844777524e-10
5.775427835183429e-10,0.01216163659970711,3.9993990844749364e-10
5.775427835178441e-10,0.012161636599707107,3.9993990844767453e-10
5.77542783518227e-10,0.012161636599707107,3.9993990844746717e-10
5.775427835183841e-10,0.012161636599707107,3.9993990844766274e-10
5.77542783518361e-10,0.012161636599707107,3.999399084473895e-10
5.775427835181894e-10,0.012161636599707107,3.9993990844771584e-10
5.775427835182188e-10,0.012161636599707107,3.999399084474149e-10
5.775427835181896e-10,0.012161636599707107,3.999399084477168e-10
5.77542783518219e-10,0.012161636599707107,3.9993990844741014e-10
5.775427835181896e-10,0.012161636599707107,3.999399084477168e-10
5.77542783518219e-10,0.012161636599707107,3.9993990844741014e-10
5.775427835181896e-10,0.012161636599707107,3.999399084477168e-10
5.77542783518219e-10,0.012161636599707107,3.9993990844741014e-10
5.775427835181896e-10,0.012161636599707107,3.999399084477168e-10
5.77542783518219e-10,0.012161636599707107,3.9993990844741014e-10
5.775427835181896e-10,0.012161636599707107,3.999399084477168e-10
5.77542783518219e-10,0.012161636599707107,3.9993990844741014e-10
5.775427835181896e-10,0.012161636599707107,3.999399084477168e-10
5.77542783518219e-10,0.012161636599707107,3.9993990844741014e-10
5.775427835181896e-10,0.012161636599707107,3.999399084477168e-10
5.77542783518219e-10,0.012161636599707107,3.9993990844741014e-10
5.775427835181896e-10,0.012161636599707107,3.999399084477168e-10
5.77542783518219e-10,0.012161636599707107,3.9993990844741014e-10
5.775427835181896e-10,0.012161636599707107,3.999399084477168e-10
5.77542783518219e-10,0.012161636599707107,3.9993990844741014e-10
5.775427835181896e-10,0.012161636599707107,3.999399084477168e-10
5.77542783518219e-10,0.012161636599707107,3.9993990844741014e-10
5.775427835181896e-10,0.012161636599707107,3.999399084477168e-10
5.77542783518219e-10,0.012161636599707107,3.9993990844741014e-10
5.775427835181896e-10,0.012161636599707107,3.999399084477168e-10
5.77542783518219e-10,0.012161636599707107,3.9993990844741014e-10
5.775427835181896e-10,0.012161636599707107,3.999399084477168e-10
