1/L/200,1/L/k,2/L/sqrt(k)
0.07746509395754463,0.07702602580894892,0.07794293604558485
0.012367434032974602,0.012594705590732613,0.012437806956502956
0.006091303242478894,0.006369698914090726,0.0060531529106164625
0.007620968109141407,0.007961013904452034,0.007508641937642594
0.010757534323725868,0.011175854800518024,0.010583083868707162
0.014076909422282619,0.014571783475645925,0.013849661701322503
0.01716012969266002,0.017719325588621493,0.016889137213195134
0.019882600843141595,0.020490092879183873,0.01957642447640265
0.022224516771713505,0.022864324743134518,0.021890809309492762
0.024206197349650134,0.02486421651772288,0.023851510342643135
0.025862298991341175,0.026526954182170322,0.02549208860587499
0.027230752149990243,0.027893030134357476,0.0268494923802767
0.028348022520483653,0.02900121183190636,0.02795935539329525
0.02924725977227028,0.029886581155188472,0.02885414333302248
0.029957780694901962,0.03058000435191753,0.02956261801064147
0.030505149594967886,0.031108245630401772,0.03010989467242371
0.03091150172865694,0.03149434245281326,0.030517744084951677
0.031195942092373374,0.03175805989587524,0.030804973680065344
0.03137494354648294,0.03191634050442394,0.03098781184370293
0.03146271281777583,0.03198371490913574,0.03108026330156507
0.031471514050047604,0.03197266200719655,0.031094424540638172
0.03141194913915955,0.031893918336166296,0.03104075786138775
0.03129319806960568,0.03175674082906075,0.030928326784143288
0.031123223825738726,0.03156912867350697,0.0307649970270304
0.03090894662566291,0.03133801013773012,0.030557607554249692
0.03065639190764863,0.03106939977356319,0.03031211595078787
0.030370816007380255,0.03076853074783297,0.03003372193903461
0.03005681294244281,0.030439966366969624,0.029726972364583614
0.029718405228269285,0.030087694222101814,0.02939585050866264
0.0293591212092814,0.029715205820720177,0.0290438521592615
0.028982061005084166,0.029325564090916835,0.02867405049973385
0.028589952841976393,0.028921460740039116,0.028289151551767786
0.028185201259565102,0.028505265112471936,0.027891541635021475
0.02776992844497426,0.028079065911569962,0.02748332807305353
0.027346009747156744,0.027644706919405928,0.02706637417895098
0.026915104255746006,0.02720381765691778,0.026642329389082595
0.026478681187900234,0.02675783976929124,0.02621265527500268
0.026038042708482867,0.026308049791163902,0.025778648047586752
0.02559434371005126,0.025855578838618214,0.02534145807042804
0.025148608996389165,0.025401429685914353,0.024902106818315152
0.024701748244076307,0.024946491611193753,0.024461501648654675
0.02425456905862511,0.024491553334230372,0.024020448696814453
0.023807788393154613,0.024037314318498638,0.02357966415870668
0.023362042556858382,0.023584394667531185,0.02313978418397179
0.022917896006348536,0.02313334381026492,0.022701373569581053
0.022475849084236436,0.022684648140594735,0.022264933415480758
0.022036344845135617,0.022238737751665398,0.02183090788016851
0.02159977508889537,0.02179599238471355,0.02139969015408129
0.02116648570366605,0.021356746694844986,0.020971627751776686
0.020736781406842777,0.020921294921443328,0.02054702720959036
0.020310929959601685,0.020489895038497234,0.020126158263335973
0.01988916592027164,0.0200627724496263,0.019709257570321728
0.019471693992878316,0.01964012328367149,0.01929653203120339
0.01905869201960706,0.01922211733913332,0.018888161759728263
0.0186503136594494,0.01880890071927999,0.018484302742050606
0.01824669078975217,0.018400598194227385,0.018085089221840378
0.01784793566263374,0.017997315321568928,0.017690635842729677
0.01745414284414807,0.017599140353079,0.017301039575618772
0.01706539096056141,0.017206145951530517,0.016916381454902735
0.016681744273075935,0.01681839073866411,0.016536728144692592
0.016303254099714507,0.016435920692756237,0.01616213335352413
0.015929960100813358,0.016058770411991295,0.015792639113811454
0.015561891442602343,0.01568696425790019,0.015428276940363389
0.015199067851643277,0.01532051739144036,0.015069068880593834
0.014841500571408022,0.014959436712824379,0.01471502846758943
0.014489193230980368,0.014603721714923544,0.014366161585915868
0.014142142634730664,0.014253365258955278,0.014022467258924242
0.013800339480819705,0.01390835428018455,0.013683938365337992
0.013463769015516379,0.013568670430511557,0.013350562292040291
0.013132411629549324,0.013234290664064629,0.013022321529225512
