1/L/2,1/L/200,1/L/k,1/L/10k,2/L/sqrt(k),1/(L+sqrt(k))
16.105348075989045,48.321957678227506,4.254854499117218,28.807621772722875,35.25704876737431,4.522961050286238
10.587652069313588,47.91280778201752,6.027537349463384,26.513035353741866,33.1219813237458,15.47452965446888
7.2327772858895605,47.480178020033954,5.527534698474006,25.004433197288506,6.189532652301835,6.651251429577543
15.70383917333122,47.02676918783463,7.729912569596807,23.85835409887972,40.82702496208542,42.32162476712504
15.02514081621038,46.461755886859436,8.148376499339834,22.68254647949035,18.140684057545986,20.536314731796256
12.907133600961554,45.747488650527146,7.246616138660285,21.400659259914015,14.3756125161629,19.396813973636828
10.723891439977479,45.172689092167225,6.701737235681282,20.58991083796823,10.418825944925176,11.500039447564474
3.001321549101781,44.82847130303741,5.258995465100377,20.255748511979807,1.9805682355806113,2.859671654629734
2.1498779928048264,44.520046788023556,4.317203185652037,20.011253560409106,2.6171631119059313,4.503705227836101
2.88559351227661,44.220154639735505,3.720387887269703,19.80275120024907,3.3969739571282105,4.862159323814518
3.5654925279547154,43.92378611218827,3.298415569402274,19.617170274131535,3.77339892181284,4.843033066639365
3.912620526616244,43.62860805715397,2.9935883294671317,19.447801731666317,3.8025793831614534,4.526509532160345
4.263696428328057,43.339216925154346,2.7803731279595607,19.29679780679256,3.9740495490037686,4.782084734570971
4.750489995806911,43.054598688400134,2.679020085710835,19.160866191989935,4.3596282779722815,5.709232890350303
4.768190285221448,42.773945541783235,2.5847030132815996,19.036319003627163,4.274145251797415,4.982125188366033
4.755176982374575,42.49247218468625,2.5206088232262913,18.918097515267096,4.217953215223726,4.9158446809784735
4.943151961057279,42.21210650408784,2.4834645111124116,18.807050974753533,4.3755530152820326,5.678659188550019
4.940915252443596,41.936093127579866,2.463726661566075,18.70452260160916,4.364361148895449,5.025774120023209
4.706377951728004,41.65836244381486,2.45359145058943,18.60550930001689,4.149189513357748,4.6841148926212375
4.397623751270845,41.373933076872305,2.439196242609623,18.50620077218252,3.8816340887284047,4.267340116627914
4.576984798575886,41.10139019491043,2.448867021212545,18.41854108023259,4.000797840859125,5.034409938486532
4.45576329467263,40.81949143561322,2.4545396288299246,18.32870678573066,3.908104197172808,4.593813121180316
4.3196078384756476,40.541377741732425,2.486470645143577,18.244786386290148,3.7896842329716303,4.5394910166583
4.490003261195064,40.275255868235625,2.5138899183272043,18.169916609969196,3.905598351200129,4.818324315028677
4.135915111160581,40.00018582170578,2.5101333722804258,18.092061178367373,3.6499042098274277,3.9723497287115817
4.79706112733319,39.752767771019165,2.5427886564689395,18.030574250950362,4.086671279647626,5.648355931598591
3.7750387409753863,39.44962235403942,2.5211075236086433,17.944046552447904,3.3938279843134778,3.7939950734095627
2.4387688472709064,39.102458946934476,2.4530528589358997,17.83952012967713,2.4073287678222064,2.162390979717377
2.1275618317461955,38.78434395058691,2.4090468877585827,17.750372810694902,2.0819897274051575,2.2790392994965663
2.913862073178588,38.41919823317839,2.330017483787526,17.642854710549894,2.2572424873334014,6.553023729861922
2.3108130326712706,38.10077945024639,2.292033134371603,17.557903030863205,2.0502373519302095,2.564416701166156
2.3201880832823334,37.765671136430015,2.2361158504804934,17.467856839428453,2.01234465839797,3.12544307707033
2.9166644326827322,37.46949811995203,2.2123709763879997,17.39524253658929,2.3172494806849575,4.560394863672715
2.63713057056286,37.09621371548843,2.1420504742253486,17.29533675909892,2.107658691980224,4.541954192714051
4.890832885166673,36.564241463748786,1.877814644972397,17.13553687327172,2.090692614518311,19.804817970072698
4.817727913267952,36.12789400637381,1.743633535448636,17.014811575162295,2.5288880790974635,6.713510051886102
4.632018155354483,35.640206145685816,1.584929475519403,16.87783434283219,2.702938666690072,7.389603049314083
4.889236778940687,35.14383638660749,1.4413698216721111,16.740730485424052,3.0045210693500324,6.3088069846903725
6.15892184444762,34.67953784331048,1.3237996096327833,16.616083771929638,3.613643510779486,12.833891781398568
15.847451292494405,34.00970305765428,1.1388444250857288,16.424540833644166,7.401230652409422,34.936631740641
16.888332882998156,33.407533616588225,1.022267408930907,16.25760894186628,9.519237259792613,15.969245843194482
8.458966176083589,33.01209728838128,0.9668365787098268,16.160425686573667,6.678933238644674,9.057414844346114
9.972553245152298,32.51545347078729,0.8836809799458463,16.032102397256907,7.034819227198801,16.844879721549262
7.344675695971686,32.12449398016911,0.8444066913134443,15.93867384225305,5.877903003015284,9.333635867612335
4.235249584329313,31.795984709111067,0.82058305756451,15.865446896470337,4.056390852732935,7.066155591418284
3.2192375261919506,31.444297169805637,0.8001518940408454,15.786406793466341,3.2612523117460333,5.052514338380212
4.392891993174663,31.04302269476091,0.7698556387354211,15.693304043340953,3.5591669481302066,7.266831436314612
8.052409905882893,30.67364798219493,0.7639828134409846,15.61056232732348,4.865728609367767,17.20441560239864
5.144022871871176,30.286550635408037,0.7412028857445327,15.523874991349013,4.048802159792447,5.343091159160383
4.034745523939309,29.920412077898757,0.7188068080089888,15.443861584792007,3.5025483278371254,4.384773258077411
3.8226443094842275,29.561376303440188,0.6982484234091997,15.366400315574285,3.265735695569844,5.281667380691627
7.8400907603784855,29.097503918559923,0.6875032432710573,15.261891685160665,4.419744541494172,17.200166187616034
16.33807256637438,28.41821547245133,0.6778622309825088,15.100525644602776,7.06609085685597,26.089990227952246
12.239519681241651,27.97526726606186,0.6767566918385196,15.001817936766733,7.193911214664142,9.552139784946698
8.257280629467461,27.601345900325843,0.681334138497833,14.922134450906968,6.360264254135587,6.981285824923669
